Region,District,Class,Latitude,Longitude,HIV_Prev_Total_pct,HIV_Prev_Women_pct,HIV_Prev_Men_pct,Condom_Use_Women_pct,Condom_Use_Men_pct,HighRisk_Sex_Women_pct,HighRisk_Sex_Men_pct,HIV_Awareness_Women_pct,HIV_Awareness_Men_pct,PMTCT_Knowledge_Women_pct,PMTCT_Knowledge_Men_pct,VCT_Women_pct,VCT_Men_pct,VCT_12mo_Women_pct,Refuse_Sex_Women_pct,Ask_Condom_STI_Women_pct,Modern_Contraception_pct,Unmet_FP_Need_pct,Adolescent_Fertility_Rate,Wife_Beating_Accept_pct,Poverty_Incidence_pct,Poverty_Intensity_pct,Illiteracy_Rate_pct,Uninsured_Rate_pct,Unemployment_Rate_pct,Youth_Dependency_Ratio,Total_Pop,Literacy_Women_pct,Secondary_Edu_Women_pct,Edu_Secondary_Women_pct,No_Education_Women_pct,No_Insurance_Women_pct,No_Insurance_Men_pct,LISA_Cluster_Type,LISA_Local_Morans_I,LISA_P_Value,LISA_Significant_Flag,Data_Source_HIV_Prevalence,Data_Source_Behavioural,Data_Source_Socioeconomic,Data_Source_Insurance,Data_Source_Education,Data_Source_Spatial_Boundaries
Ashanti,Adansi South,District,6.00427495,-1.39314032189093,1.9,2.6,1.1,8.1,13.6,38.6,54.4,98.7,99.0,75.7,73.9,62.9,23.7,16.4,75.1,92.4,26.9,23.0,62.0,16.0,35.0,43.2,27.07,46.09,45.03,62.6,85200,61.5,11.5,79.8,9.0,7.5,22.2,LL,-0.0002590271978557,0.496,0,"Ghana DHS 2014 — hiv-prevalence_subnational_gha.csv (regional level, mapped to 260 districts)",Ghana DHS 2022 — hiv-behavior/knowledge/counseling/attitudes/fp2020_subnational_gha.csv (regional level),Ghana Population & Housing Census 2021 — Master Sheet.xlsx (district level),Ghana DHS 2022 — health-insurance_subnational_gha.csv (regional level),Ghana DHS 2022 — literacy/select-education-indicators_subnational_gha.csv (regional level),Ghana Statistical Service — Ghana_New_260_District.geojson
Ashanti,Afigya Kwabre North,District,7.03891495,-1.62667127242319,1.9,2.6,1.1,8.1,13.6,38.6,54.4,98.7,99.0,75.7,73.9,62.9,23.7,16.4,75.1,92.4,26.9,23.0,62.0,16.0,25.2,43.7,23.98,30.12,51.79,70.24,73330,61.5,11.5,79.8,9.0,7.5,22.2,HL,2.1585599821316915e-05,0.463,0,"Ghana DHS 2014 — hiv-prevalence_subnational_gha.csv (regional level, mapped to 260 districts)",Ghana DHS 2022 — hiv-behavior/knowledge/counseling/attitudes/fp2020_subnational_gha.csv (regional level),Ghana Population & Housing Census 2021 — Master Sheet.xlsx (district level),Ghana DHS 2022 — health-insurance_subnational_gha.csv (regional level),Ghana DHS 2022 — literacy/select-education-indicators_subnational_gha.csv (regional level),Ghana Statistical Service — Ghana_New_260_District.geojson
Ashanti,Afigya Kwabre South,District,6.83998064999999,-1.60957900170106,1.9,2.6,1.1,8.1,13.6,38.6,54.4,98.7,99.0,75.7,73.9,62.9,23.7,16.4,75.1,92.4,26.9,23.0,62.0,16.0,13.0,43.3,13.42,24.97,49.3,61.43,234667,61.5,11.5,79.8,9.0,7.5,22.2,HL,2.1585599821316915e-05,0.45,0,"Ghana DHS 2014 — hiv-prevalence_subnational_gha.csv (regional level, mapped to 260 districts)",Ghana DHS 2022 — hiv-behavior/knowledge/counseling/attitudes/fp2020_subnational_gha.csv (regional level),Ghana Population & Housing Census 2021 — Master Sheet.xlsx (district level),Ghana DHS 2022 — health-insurance_subnational_gha.csv (regional level),Ghana DHS 2022 — literacy/select-education-indicators_subnational_gha.csv (regional level),Ghana Statistical Service — Ghana_New_260_District.geojson
Ashanti,Ahafo Ano North Municipal,Municipal,6.90966445,-2.23301229669742,1.9,2.6,1.1,8.1,13.6,38.6,54.4,98.7,99.0,75.7,73.9,62.9,23.7,16.4,75.1,92.4,26.9,23.0,62.0,16.0,26.5,41.2,24.92,30.64,43.12,62.02,92742,61.5,11.5,79.8,9.0,7.5,22.2,HL,-0.0,0.001,1,"Ghana DHS 2014 — hiv-prevalence_subnational_gha.csv (regional level, mapped to 260 districts)",Ghana DHS 2022 — hiv-behavior/knowledge/counseling/attitudes/fp2020_subnational_gha.csv (regional level),Ghana Population & Housing Census 2021 — Master Sheet.xlsx (district level),Ghana DHS 2022 — health-insurance_subnational_gha.csv (regional level),Ghana DHS 2022 — literacy/select-education-indicators_subnational_gha.csv (regional level),Ghana Statistical Service — Ghana_New_260_District.geojson
Ashanti,Ahafo Ano North Municipal,Municipal,6.90966445,-2.23301229669742,1.9,2.6,1.1,8.1,13.6,38.6,54.4,98.7,99.0,75.7,73.9,62.9,23.7,16.4,75.1,92.4,26.9,23.0,62.0,16.0,26.5,41.2,24.92,30.64,43.12,62.02,92742,61.5,11.5,79.8,9.0,7.5,22.2,LL,-0.0012411719897256,0.376,0,"Ghana DHS 2014 — hiv-prevalence_subnational_gha.csv (regional level, mapped to 260 districts)",Ghana DHS 2022 — hiv-behavior/knowledge/counseling/attitudes/fp2020_subnational_gha.csv (regional level),Ghana Population & Housing Census 2021 — Master Sheet.xlsx (district level),Ghana DHS 2022 — health-insurance_subnational_gha.csv (regional level),Ghana DHS 2022 — literacy/select-education-indicators_subnational_gha.csv (regional level),Ghana Statistical Service — Ghana_New_260_District.geojson
Ashanti,Ahafo Ano South East,District,6.94633355,-1.90095355028736,1.9,2.6,1.1,8.1,13.6,38.6,54.4,98.7,99.0,75.7,73.9,62.9,23.7,16.4,75.1,92.4,26.9,23.0,62.0,16.0,31.8,42.5,32.24,32.34,46.29,71.19,63468,61.5,11.5,79.8,9.0,7.5,22.2,HL,2.1585599821316915e-05,0.448,0,"Ghana DHS 2014 — hiv-prevalence_subnational_gha.csv (regional level, mapped to 260 districts)",Ghana DHS 2022 — hiv-behavior/knowledge/counseling/attitudes/fp2020_subnational_gha.csv (regional level),Ghana Population & Housing Census 2021 — Master Sheet.xlsx (district level),Ghana DHS 2022 — health-insurance_subnational_gha.csv (regional level),Ghana DHS 2022 — literacy/select-education-indicators_subnational_gha.csv (regional level),Ghana Statistical Service — Ghana_New_260_District.geojson
Ashanti,Ahafo Ano South East,District,6.94633355,-1.90095355028736,1.9,2.6,1.1,8.1,13.6,38.6,54.4,98.7,99.0,75.7,73.9,62.9,23.7,16.4,75.1,92.4,26.9,23.0,62.0,16.0,31.8,42.5,32.24,32.34,46.29,71.19,63468,61.5,11.5,79.8,9.0,7.5,22.2,HL,0.007317518339426,0.002,1,"Ghana DHS 2014 — hiv-prevalence_subnational_gha.csv (regional level, mapped to 260 districts)",Ghana DHS 2022 — hiv-behavior/knowledge/counseling/attitudes/fp2020_subnational_gha.csv (regional level),Ghana Population & Housing Census 2021 — Master Sheet.xlsx (district level),Ghana DHS 2022 — health-insurance_subnational_gha.csv (regional level),Ghana DHS 2022 — literacy/select-education-indicators_subnational_gha.csv (regional level),Ghana Statistical Service — Ghana_New_260_District.geojson
Ashanti,Ahafo Ano South West,District,6.8289788,-2.00038660056909,1.9,2.6,1.1,8.1,13.6,38.6,54.4,98.7,99.0,75.7,73.9,62.9,23.7,16.4,75.1,92.4,26.9,23.0,62.0,16.0,31.9,41.8,31.43,37.52,44.39,64.65,65770,61.5,11.5,79.8,9.0,7.5,22.2,LL,-0.0006518851146037,0.409,0,"Ghana DHS 2014 — hiv-prevalence_subnational_gha.csv (regional level, mapped to 260 districts)",Ghana DHS 2022 — hiv-behavior/knowledge/counseling/attitudes/fp2020_subnational_gha.csv (regional level),Ghana Population & Housing Census 2021 — Master Sheet.xlsx (district level),Ghana DHS 2022 — health-insurance_subnational_gha.csv (regional level),Ghana DHS 2022 — literacy/select-education-indicators_subnational_gha.csv (regional level),Ghana Statistical Service — Ghana_New_260_District.geojson
Ashanti,Akrofuom,District,6.03262245,-1.67136425707588,1.9,2.6,1.1,8.1,13.6,38.6,54.4,98.7,99.0,75.7,73.9,62.9,23.7,16.4,75.1,92.4,26.9,23.0,62.0,16.0,37.0,44.2,30.03,42.84,49.31,58.86,49291,61.5,11.5,79.8,9.0,7.5,22.2,LL,-0.0003993335966943,0.424,0,"Ghana DHS 2014 — hiv-prevalence_subnational_gha.csv (regional level, mapped to 260 districts)",Ghana DHS 2022 — hiv-behavior/knowledge/counseling/attitudes/fp2020_subnational_gha.csv (regional level),Ghana Population & Housing Census 2021 — Master Sheet.xlsx (district level),Ghana DHS 2022 — health-insurance_subnational_gha.csv (regional level),Ghana DHS 2022 — literacy/select-education-indicators_subnational_gha.csv (regional level),Ghana Statistical Service — Ghana_New_260_District.geojson
Ashanti,Amansie Central,District,6.20744165,-1.82814118592735,1.9,2.6,1.1,8.1,13.6,38.6,54.4,98.7,99.0,75.7,73.9,62.9,23.7,16.4,75.1,92.4,26.9,23.0,62.0,16.0,28.6,43.3,29.44,33.99,44.63,57.8,93052,61.5,11.5,79.8,9.0,7.5,22.2,LL,-0.0001387645702798,0.495,0,"Ghana DHS 2014 — hiv-prevalence_subnational_gha.csv (regional level, mapped to 260 districts)",Ghana DHS 2022 — hiv-behavior/knowledge/counseling/attitudes/fp2020_subnational_gha.csv (regional level),Ghana Population & Housing Census 2021 — Master Sheet.xlsx (district level),Ghana DHS 2022 — health-insurance_subnational_gha.csv (regional level),Ghana DHS 2022 — literacy/select-education-indicators_subnational_gha.csv (regional level),Ghana Statistical Service — Ghana_New_260_District.geojson
