Poverty_Incidence_pct,Illiteracy_Rate_pct,Uninsured_Rate_pct,Unemployment_Rate_pct,Youth_Dependency_Ratio,Latitude,Longitude,Condom_Use_Women_pct,VCT_Women_pct,HIV_Awareness_Women_pct,PMTCT_Knowledge_Women_pct,No_Insurance_Women_pct,Literacy_Women_pct,Edu_Secondary_Women_pct,No_Education_Women_pct,Modern_Contraception_pct,Adolescent_Fertility_Rate,Wife_Beating_Accept_pct,Unmet_FP_Need_pct,HIV_Prev_Total_pct_actual,District
-3.4617018175146254e-07,2.2390385796343654e-06,0.0016976189170569097,-1.0706496453294356e-18,8.673617379884035e-19,0.0015420445666112128,0.012073887740264782,0.0007935990485343367,0.4098884509173937,0.004226363978802524,0.007319327852283248,0.013493476627258638,0.001798819729495929,0.03870800885620513,0.0041064190307269705,0.005674518705738014,0.002048780713829484,-0.20837118596563048,0.00024012200689846065,2.2,Asunafo North Municipal
-7.065074064497456e-07,-5.2183632917066506e-08,-0.0012790551373426755,-8.565197162635485e-18,4.336808689942018e-19,0.0015420445666112156,0.01217729103860659,0.0007821959433792863,0.4091516373733251,0.004192437110910249,0.007528890799641263,0.01384646810704113,0.0017928883188977392,0.03836864161556704,0.0040636492114433645,0.006005812859868914,0.0020309468232810888,-0.20919155040071993,0.00023060605439657574,2.2,Asunafo South
-3.461701817522215e-07,2.2390385796336877e-06,0.0016976189170569028,-7.928228386300251e-19,2.168404344971009e-18,0.0015420445666112128,0.012073887740264784,0.0007935990485343358,0.4098884509173938,0.004226363978802527,0.007319327852283262,0.013493476627258635,0.0017988197294959295,0.03870800885620511,0.004106419030726967,0.0056745187057380105,0.002048780713829484,-0.20837118596563012,0.0002401220068984602,2.2,Asutifi North
-3.461701817531024e-07,2.2390385796343484e-06,0.001176912323019544,7.453889935837843e-20,1.0842021724855044e-19,0.0015420445666112135,0.012215585938796547,0.0007935990485343362,0.40972312580774417,0.004220953601809657,0.007319327852283255,0.013636066593475469,0.0017988197294959282,0.03867298172895925,0.004101759374328614,0.005663446569626093,0.002045313694725795,-0.2085098061108397,0.00024012200689846038,2.2,Asutifi South
-3.461701817511373e-07,2.2390385796359104e-06,0.001840709342791379,7.453889935837843e-20,3.469446951953614e-18,0.0015420445666112152,0.0106412256169865,0.0007935990485343384,0.4094821195563927,0.0042263639788025255,0.007324053267353501,0.013493476627258635,0.00179881972949593,0.03852964295800881,0.004106419030726969,0.005525953304268604,0.0020487807138294873,-0.20875259689738565,0.00023964188179359042,2.2,Tano North Municipal
-3.461701817531566e-07,2.2390385796340774e-06,0.0016190542209481359,-5.759824041329242e-19,3.2526065174565133e-19,0.0015420445666112143,0.008160219239256538,0.0007935990485343367,0.4084179262943797,0.004226363978802529,0.0073240532673534975,0.01349347662725864,0.0017988197294959286,0.038332985579216224,0.004106419030726969,0.005300959474704097,0.0020487807138294834,-0.20956409092744172,0.0002396418817935902,2.2,Tano South Municipal
-6.329483722120098e-07,-2.918882138476149e-07,-0.0003941600375230211,5.827586677109586e-19,-2.8104553189897685e-18,0.0013234310626760852,-0.001701642374033691,-0.0008792369488111429,0.2893148845638013,0.0011880338449318459,0.006356453201580639,0.0016751151869426283,0.004693623257404794,-0.043398614892590226,0.0024614268344058015,-2.7619976081419583e-05,0.0020500821230228393,-0.26718940705800626,0.00017070164273330223,1.9,Adansi Asokwa
-6.329483722112916e-07,-1.0403993314701376e-05,-0.000356408474316009,1.3857459017080354e-18,1.6093625997831706e-18,0.0013122095547859628,-0.0014831780545777238,-0.0008787369955357494,0.2891050364986094,0.0011637305203243476,0.006356453201580636,0.0016762066564011528,0.004694750113420085,-0.04344520352810603,0.0024503770370341666,-2.5559177630648353e-05,0.0020531658470396416,-0.26714036230620813,0.00017070164273330266,1.9,Adansi North
-6.329483722114677e-07,-2.9188821384747936e-07,-0.0003786830404051211,2.9815559743351372e-18,-1.9159885266892274e-18,0.0013153850856645996,-0.0016899069172648267,-0.0008792369488111434,0.28931590375612565,0.0011880338449318472,0.006356453201580639,0.0016751151869426287,0.0046962852605218096,-0.04329322586599262,0.0024614268344058006,-2.451130314516134e-05,0.0020491279784354633,-0.26731953142909953,0.00017043478656398822,1.9,Adansi South
-6.329483722123351e-07,-1.5195401970958126e-08,-0.00038998886086131026,7.352245982167327e-19,-2.3767744499955668e-18,0.0013951788240028373,0.00041739974126198543,-0.0008738166701426862,0.2879827268511075,0.0010463513400717046,0.006356453201580636,0.0016843774353810538,0.0047029798866016085,-0.0445330718565269,0.0023741433137341814,-9.960677508190398e-06,0.0020621840720560156,-0.266763973325798,0.00019181046268137146,1.9,Afigya Kwabre North
