District,Region,LISA_Local_Morans_I,LISA_P_Value,LISA_Significant_Flag,LISA_Cluster_Type
Bekwai Municipal,Ashanti,4.154558887721954e-05,0.426,0,NS
Kpando Municipal,Volta,0.054271257111052344,0.375,0,NS
Bosomtwi,Ashanti,4.154558887721954e-05,0.424,0,NS
North Tongu,Volta,0.11004409050580974,0.22,0,NS
Central Tongu,Volta,0.054271257111052344,0.345,0,NS
Mampong Municipal,Ashanti,4.1545588877219546e-05,0.441,0,NS
Ajumako Enyan Essiam,Central,0.05427125711105233,0.32,0,NS
Gomoa West,Central,0.05427125711105233,0.32,0,NS
Agona West Municipal,Central,0.054271257111052344,0.371,0,NS
Agona East,Central,0.05427125711105234,0.438,0,NS
Assin North,Central,0.035680312646133194,0.406,0,NS
Assin South,Central,0.05427125711105233,0.32,0,NS
Asikuma Odoben Brakwa,Central,0.05427125711105233,0.32,0,NS
Effutu Municipal,Central,0.05427125711105234,0.438,0,NS
Gomoa East,Central,0.06821446545974168,0.216,0,NS
Abura Asebu Kwamankese,Central,0.054271257111052344,0.345,0,NS
Jomoro Municipal,Western,0.9047518548856541,0.011,1,HH
Ellembelle,Western,0.9047518548856542,0.007,1,HH
Dormaa Central Municipal,Bono,0.0,0.001,1,HL
Dormaa West,Bono,0.22991159310817885,0.163,0,NS
Nadowli Kaleo,Upper West,3.2472108574654692,0.003,1,LL
Prestea/Huni Valley Municipal,Western,0.7908915052872659,0.001,1,HH
Ahanta West Municipal,Western,0.9047518548856542,0.001,1,HH
Daffiama Bussie Issa,Upper West,3.2472108574654683,0.001,1,LL
Nzema East Municipal,Western,0.9047518548856542,0.001,1,HH
Lawra Municipal,Upper West,3.247210857465469,0.009,1,LL
Nandom,Upper West,3.2472108574654692,0.019,1,LL
Tarkwa-Nsuaem Municipal,Western,0.9047518548856542,0.001,1,HH
Talensi,Upper East,2.602028453310531,0.001,1,LL
Sefwi Akontombra,Western North,0.9047518548856542,0.002,1,HH
Effia Kwesimintsim Municipal,Western,0.9047518548856541,0.01,1,HH
Nabdam,Upper East,2.44170123997755,0.004,1,LL
Builsa South,Upper East,2.7409787048657823,0.002,1,LL
Builsa North Municipal,Upper East,2.44170123997755,0.035,1,LL
Binduri,Upper East,2.44170123997755,0.01,1,LL
Pusiga,Upper East,2.44170123997755,0.035,1,LL
Bawku Municipal,Upper East,2.44170123997755,0.004,1,LL
North Gonja,Savannah,3.65461340232566,0.001,1,LL
West Gonja,Savannah,3.6929526326599342,0.002,1,LL
Mion,Northern,3.692952632659934,0.001,1,LL
Yendi Municipal,Northern,3.6929526326599342,0.004,1,LL
Tolon,Northern,3.6929526326599342,0.001,1,LL
Kumbungu,Northern,3.6929526326599342,0.001,1,LL
West Mamprusi Municipal,North East,3.4341628279035783,0.001,1,LL
Mamprugu Moagduri,North East,3.5012564809885593,0.001,1,LL
Zabzugu,Northern,3.6929526326599342,0.002,1,LL
Tatale Sanguli,Northern,3.6929526326599342,0.1,0,NS
Sene East,Bono East,-0.03242699830157739,0.386,0,NS
Bibiani Anhwiaso Bekwai Municipal,Western North,0.4872639063582306,0.095,0,NS
Sene West,Bono East,-0.06137470493989531,0.311,0,NS
Upper Denkyira East Municipal,Central,0.0765803904689553,0.274,0,NS
Asutifi North,Ahafo,0.12437307932264474,0.251,0,NS
Ahafo Ano North Municipal,Ashanti,-0.0016944665177779047,0.357,0,NS
Amansie Central,Ashanti,-0.00017890039292025654,0.485,0,NS
Amansie West,Ashanti,4.154558887721954e-05,0.42,0,NS
Asutifi South,Ahafo,0.07009612937579857,0.339,0,NS
Techiman Municipal,Bono East,0.1032653765655379,0.253,0,NS
Upper Denkyira West,Central,0.08215767380843102,0.215,0,NS
Techiman North,Bono East,0.12437307932264474,0.292,0,NS
Cape Cape Metropolitan Area (CCMA)-Cape Coast South & Cape Coast North,Central,0.05427125711105234,0.438,0,NS
Komenda Edina Eguafo Abirem Municipal,Central,0.13793050720318845,0.134,0,NS
Banda,Bono,-0.03604546163136711,0.354,0,NS
