District,HIV_Prev_Total_pct,G_Star_Z_Score,P_Value,Hotspot_Type
Atwima Nwabiagya South Municipal,1.9,-0.00466396908156978,0.9962787045690717,Not Significant
Akatsi South Municipal,2.1,0.23788829802122063,0.8119677318420164,Not Significant
Atwima Mponua,1.9,0.2906170956604578,0.7713441837090802,Not Significant
Akatsi North,2.1,0.23788829802121983,0.8119677318420171,Not Significant
Ho Municipal,2.1,0.23788829802122033,0.8119677318420169,Not Significant
Adansi South,1.9,0.05573443052475423,0.9555533705284978,Not Significant
Hohoe Municipal,2.1,0.23788829802122033,0.8119677318420169,Not Significant
Adansi Asokwa,1.9,-0.00466396908156978,0.9962787045690717,Not Significant
Ho West,2.1,,,Not Significant
Bosome Freho,1.9,-0.004663969081569779,0.9962787045690717,Not Significant
Afadzato South,2.1,0.23788829802122033,0.8119677318420169,Not Significant
Ahafo Ano South East,1.9,-0.00466396908156978,0.9962787045690717,Not Significant
North Dayi,2.1,0.23788829802121983,0.8119677318420171,Not Significant
Bekwai Municipal,1.9,-0.00466396908156978,0.9962787045690717,Not Significant
Kpando Municipal,2.1,0.23788829802122033,0.8119677318420169,Not Significant
Bosomtwi,1.9,-0.00466396908156978,0.9962787045690717,Not Significant
North Tongu,2.1,0.4795081771878715,0.6315771523173699,Not Significant
Central Tongu,2.1,0.23788829802122033,0.8119677318420169,Not Significant
Mampong Municipal,1.9,-0.004663969081570038,0.9962787045690715,Not Significant
Ajumako Enyan Essiam,2.1,0.23788829802122063,0.8119677318420164,Not Significant
Gomoa West,2.1,0.23788829802122063,0.8119677318420164,Not Significant
Agona West Municipal,2.1,0.23788829802122033,0.8119677318420169,Not Significant
Agona East,2.1,0.23788829802121983,0.8119677318420171,Not Significant
Assin North,2.1,0.1573483382990034,0.8749703262360677,Not Significant
Assin South,2.1,0.23788829802122063,0.8119677318420164,Not Significant
Asikuma Odoben Brakwa,2.1,0.23788829802122063,0.8119677318420164,Not Significant
Effutu Municipal,2.1,0.23788829802121983,0.8119677318420171,Not Significant
Gomoa East,2.1,0.2982932678128831,0.7654793420548955,Not Significant
Abura Asebu Kwamankese,2.1,0.1895643221878899,0.8496505469870255,Not Significant
Jomoro Municipal,2.7,0.9671767382884452,0.3334556887404434,Not Significant
Ellembelle,2.7,0.9671767382884452,0.3334556887404434,Not Significant
Ahafo Ano North Municipal,1.9,,,Not Significant
Dormaa West,2.2,0.6612816220857447,0.5084317250388586,Not Significant
Nadowli Kaleo,0.4,-1.835387478318047,0.06644829770908456,Not Significant
Prestea/Huni Valley Municipal,2.7,0.846162837217572,0.39746191035027056,Not Significant
Ahanta West Municipal,2.7,0.9671767382884452,0.3334556887404434,Not Significant
Daffiama Bussie Issa,0.4,-1.8353874783180468,0.06644829770908456,Not Significant
Nzema East Municipal,2.7,0.9671767382884452,0.3334556887404434,Not Significant
Lawra Municipal,0.4,-1.835387478318047,0.06644829770908456,Not Significant
Nandom,0.4,-1.835387478318047,0.06644829770908456,Not Significant
Tarkwa-Nsuaem Municipal,2.7,0.9671767382884452,0.3334556887404434,Not Significant
Talensi,0.6,-1.4673598345621106,0.14227819469291259,Not Significant
Sefwi Akontombra,2.7,0.9671767382884452,0.3334556887404434,Not Significant
Effia Kwesimintsim Municipal,2.7,0.9671767382884452,0.3334556887404434,Not Significant
Nabdam,0.6,-1.1942509416872884,0.232379821537688,Not Significant
Builsa South,0.6,-1.7829523329952395,0.07459406304394967,Not Significant
Builsa North Municipal,0.6,-1.5887415647286987,0.11211875084214795,Not Significant
Binduri,0.6,-1.5887415647286987,0.11211875084214795,Not Significant
Pusiga,0.6,-1.5887415647286987,0.11211875084214795,Not Significant
Bawku Municipal,0.6,-1.5887415647286987,0.11211875084214795,Not Significant
North Gonja,0.3,-1.938897660439744,0.05251380090270441,Not Significant
West Gonja,0.3,-1.9591785252696743,0.050091883141938576,Not Significant
Mion,0.3,-1.9591785252696743,0.050091883141938576,Not Significant
Yendi Municipal,0.3,-1.9591785252696743,0.050091883141938576,Not Significant
Tolon,0.3,-1.9591785252696743,0.050091883141938576,Not Significant
Kumbungu,0.3,-1.959178525269674,0.050091883141938576,Not Significant
West Mamprusi Municipal,0.3,-1.822282687667648,0.0684121036677321,Not Significant
Mamprugu Moagduri,0.3,-1.8577742011200247,0.06320108623510201,Not Significant
Zabzugu,0.3,-1.9591785252696743,0.050091883141938576,Not Significant
Tatale Sanguli,0.3,-1.9591785252696743,0.050091883141938576,Not Significant
Sene East,2.2,-0.08957042076928609,0.9286285907050518,Not Significant
Bibiani Anhwiaso Bekwai Municipal,2.7,0.5234591010285768,0.6006548052968159,Not Significant
Sene West,2.2,-0.1724230599808758,0.863104944418793,Not Significant
Upper Denkyira East Municipal,2.1,0.3345362496878812,0.7379749416705341,Not Significant
Asutifi North,2.2,0.3592147082934908,0.7194344743165815,Not Significant
Ahafo Ano North Municipal,1.9,0.26712882914688735,0.7893699714050781,Not Significant
Amansie Central,1.9,0.029849402122043903,0.9761871591046365,Not Significant
Amansie West,1.9,-0.00466396908156978,0.9962787045690717,Not Significant
Asutifi South,2.2,0.20386600977176014,0.8384582075029998,Not Significant
Techiman Municipal,2.2,0.2988013255350403,0.765091639489816,Not Significant
Upper Denkyira West,2.1,0.3586982376045462,0.7198208469597216,Not Significant
Techiman North,2.2,0.3592147082934908,0.7194344743165815,Not Significant
"Kumasi Metropolitan Area (KMA)-Bantama, Manhyia North, Manhyia South, Nhyiaeso, & Subin",1.9,0.23692962934372494,0.8127113834310946,Not Significant
Komenda Edina Eguafo Abirem Municipal,2.1,0.5399131469795347,0.5892569308058171,Not Significant
