Region,District,Class,Latitude,Longitude,Poverty_Incidence_pct,Poverty_Intensity_pct,Illiteracy_Rate_pct,Uninsured_Rate_pct,Unemployment_Rate_pct,Youth_Dependency_Ratio,Total_Pop,Condom_Use_Women_pct,Condom_Use_Men_pct,HighRisk_Sex_Women_pct,HighRisk_Sex_Men_pct,HIV_Awareness_Women_pct,HIV_Awareness_Men_pct,PMTCT_Knowledge_Women_pct,PMTCT_Knowledge_Men_pct,VCT_Women_pct,VCT_Men_pct,VCT_12mo_Women_pct,Refuse_Sex_Women_pct,Ask_Condom_STI_Women_pct,No_Insurance_Women_pct,No_Insurance_Men_pct,Literacy_Women_pct,Secondary_Edu_Women_pct,Edu_Secondary_Women_pct,No_Education_Women_pct,Wife_Beating_Accept_pct,Adolescent_Fertility_Rate,Modern_Contraception_pct,Unmet_FP_Need_pct,HIV_Prev_Women_pct,HIV_Prev_Men_pct,HIV_Prev_Total_pct
Ashanti,Amansie South,District,6.30802585,-2.01186652006877,30.3,44.4,30.17,48.14,45.61,52.44,113155,8.1,13.6,38.6,54.4,98.7,99.0,75.7,73.9,62.9,23.7,16.4,75.1,92.4,7.5,22.2,61.5,11.5,79.8,9.0,16.0,62.0,26.9,23.0,2.6,1.1,1.9
Ashanti,Amansie West,District,6.43975084999999,-1.85237045719587,31.0,44.7,27.0,43.02,52.21,61.25,112627,8.1,13.6,38.6,54.4,98.7,99.0,75.7,73.9,62.9,23.7,16.4,75.1,92.4,7.5,22.2,61.5,11.5,79.8,9.0,16.0,62.0,26.9,23.0,2.6,1.1,1.9
Ashanti,Asante Akim Central Municipal,Municipal,6.56465915,-1.25347851347396,16.9,42.6,17.22,19.68,51.13,55.83,91673,8.1,13.6,38.6,54.4,98.7,99.0,75.7,73.9,62.9,23.7,16.4,75.1,92.4,7.5,22.2,61.5,11.5,79.8,9.0,16.0,62.0,26.9,23.0,2.6,1.1,1.9
Ashanti,Asante Akim North Municipal,Municipal,6.906722,-0.958978,26.0,42.1,23.85,34.0,47.13,55.04,85202,8.1,13.6,38.6,54.4,98.7,99.0,75.7,73.9,62.9,23.7,16.4,75.1,92.4,7.5,22.2,61.5,11.5,79.8,9.0,16.0,62.0,26.9,23.0,2.6,1.1,1.9
Ashanti,Asante Akim South Municipal,Municipal,6.46141735,-1.11533920112058,24.6,42.2,25.62,32.61,43.84,65.69,123633,8.1,13.6,38.6,54.4,98.7,99.0,75.7,73.9,62.9,23.7,16.4,75.1,92.4,7.5,22.2,61.5,11.5,79.8,9.0,16.0,62.0,26.9,23.0,2.6,1.1,1.9
Ashanti,Asokore Mampong Municipal,Municipal,6.7077852,-1.5665013,11.3,42.7,19.35,20.28,48.52,51.93,191402,8.1,13.6,38.6,54.4,98.7,99.0,75.7,73.9,62.9,23.7,16.4,75.1,92.4,7.5,22.2,61.5,11.5,79.8,9.0,16.0,62.0,26.9,23.0,2.6,1.1,1.9
Ashanti,Asokwa Municipal,Municipal,6.6739843,-1.6026178,6.3,41.4,10.73,14.25,44.07,48.27,125642,8.1,13.6,38.6,54.4,98.7,99.0,75.7,73.9,62.9,23.7,16.4,75.1,92.4,7.5,22.2,61.5,11.5,79.8,9.0,16.0,62.0,26.9,23.0,2.6,1.1,1.9
Ashanti,Atwima Kwanwoma,District,6.65,-1.73333,13.8,43.3,13.57,26.15,49.99,59.8,234846,8.1,13.6,38.6,54.4,98.7,99.0,75.7,73.9,62.9,23.7,16.4,75.1,92.4,7.5,22.2,61.5,11.5,79.8,9.0,16.0,62.0,26.9,23.0,2.6,1.1,1.9
Ashanti,Atwima Mponua,District,6.5558963,-2.17659077213842,25.1,42.4,29.22,24.13,43.5,64.9,155254,8.1,13.6,38.6,54.4,98.7,99.0,75.7,73.9,62.9,23.7,16.4,75.1,92.4,7.5,22.2,61.5,11.5,79.8,9.0,16.0,62.0,26.9,23.0,2.6,1.1,1.9
Ashanti,Atwima Nwabiagya North,District,6.87764335,-1.74489585317473,13.5,43.1,15.74,21.41,50.93,59.81,155025,8.1,13.6,38.6,54.4,98.7,99.0,75.7,73.9,62.9,23.7,16.4,75.1,92.4,7.5,22.2,61.5,11.5,79.8,9.0,16.0,62.0,26.9,23.0,2.6,1.1,1.9
