Region,District,Class,Latitude,Longitude,Poverty_Incidence_pct,Poverty_Intensity_pct,Illiteracy_Rate_pct,Uninsured_Rate_pct,Unemployment_Rate_pct,Youth_Dependency_Ratio,Total_Pop,Condom_Use_Women_pct,Condom_Use_Men_pct,HighRisk_Sex_Women_pct,HighRisk_Sex_Men_pct,HIV_Awareness_Women_pct,HIV_Awareness_Men_pct,PMTCT_Knowledge_Women_pct,PMTCT_Knowledge_Men_pct,VCT_Women_pct,VCT_Men_pct,VCT_12mo_Women_pct,Refuse_Sex_Women_pct,Ask_Condom_STI_Women_pct,No_Insurance_Women_pct,No_Insurance_Men_pct,Literacy_Women_pct,Secondary_Edu_Women_pct,Edu_Secondary_Women_pct,No_Education_Women_pct,Wife_Beating_Accept_pct,Adolescent_Fertility_Rate,Modern_Contraception_pct,Unmet_FP_Need_pct,HIV_Prev_Women_pct,HIV_Prev_Men_pct,HIV_Prev_Total_pct,LISA_Local_Morans_I,LISA_P_Value,LISA_Significant_Flag,LISA_Cluster_Type,Spatial_Unit_Note,Data_Source_HIV_Prevalence,Data_Source_Behavioural,Data_Source_Socioeconomic,Data_Source_Insurance,Data_Source_Education,Data_Source_Spatial_Boundaries
Ashanti,Afigya Kwabre South,District,6.83998064999999,-1.60957900170106,13.0,43.3,13.42,24.97,49.3,61.43,234667,8.1,13.6,38.6,54.4,98.7,99.0,75.7,73.9,62.9,23.7,16.4,75.1,92.4,7.5,22.2,61.5,11.5,79.8,9.0,16.0,62.0,26.9,23.0,2.6,1.1,1.9,4.154558887721954e-05,0.444,0.0,NS,,"Ghana DHS 2014 — hiv-prevalence_subnational_gha.csv (regional level, mapped to 261 districts)",Ghana DHS 2022 — hiv-behavior/knowledge/counseling/attitudes/fp2020_subnational_gha.csv (regional level),Ghana Population & Housing Census 2021 — Master Sheet.xlsx (district level),Ghana DHS 2022 — health-insurance_subnational_gha.csv (regional level),Ghana DHS 2022 — literacy/select-education-indicators_subnational_gha.csv (regional level),"Ghana Statistical Service — Ghana_New_260_District.geojson, joined via district_crosswalk_261_to_260.csv (261 census districts -> 260 unique polygons; Guan shares Krachi East Municipal's polygon)"
Ashanti,Ahafo Ano North Municipal,Municipal,6.90966445,-2.23301229669742,26.5,41.2,24.92,30.64,43.12,62.02,92742,8.1,13.6,38.6,54.4,98.7,99.0,75.7,73.9,62.9,23.7,16.4,75.1,92.4,7.5,22.2,61.5,11.5,79.8,9.0,16.0,62.0,26.9,23.0,2.6,1.1,1.9,-0.0016944665177779047,0.357,0.0,NS,,"Ghana DHS 2014 — hiv-prevalence_subnational_gha.csv (regional level, mapped to 261 districts)",Ghana DHS 2022 — hiv-behavior/knowledge/counseling/attitudes/fp2020_subnational_gha.csv (regional level),Ghana Population & Housing Census 2021 — Master Sheet.xlsx (district level),Ghana DHS 2022 — health-insurance_subnational_gha.csv (regional level),Ghana DHS 2022 — literacy/select-education-indicators_subnational_gha.csv (regional level),"Ghana Statistical Service — Ghana_New_260_District.geojson, joined via district_crosswalk_261_to_260.csv (261 census districts -> 260 unique polygons; Guan shares Krachi East Municipal's polygon)"
Ashanti,Ahafo Ano South East,District,6.94633355,-1.90095355028736,31.8,42.5,32.24,32.34,46.29,71.19,63468,8.1,13.6,38.6,54.4,98.7,99.0,75.7,73.9,62.9,23.7,16.4,75.1,92.4,7.5,22.2,61.5,11.5,79.8,9.0,16.0,62.0,26.9,23.0,2.6,1.1,1.9,4.154558887721954e-05,0.425,0.0,NS,,"Ghana DHS 2014 — hiv-prevalence_subnational_gha.csv (regional level, mapped to 261 districts)",Ghana DHS 2022 — hiv-behavior/knowledge/counseling/attitudes/fp2020_subnational_gha.csv (regional level),Ghana Population & Housing Census 2021 — Master Sheet.xlsx (district level),Ghana DHS 2022 — health-insurance_subnational_gha.csv (regional level),Ghana DHS 2022 — literacy/select-education-indicators_subnational_gha.csv (regional level),"Ghana Statistical Service — Ghana_New_260_District.geojson, joined via district_crosswalk_261_to_260.csv (261 census districts -> 260 unique polygons; Guan shares Krachi East Municipal's polygon)"
Ashanti,Ahafo Ano South West,District,6.8289788,-2.00038660056909,31.9,41.8,31.43,37.52,44.39,64.65,65770,8.1,13.6,38.6,54.4,98.7,99.0,75.7,73.9,62.9,23.7,16.4,75.1,92.4,7.5,22.2,61.5,11.5,79.8,9.0,16.0,62.0,26.9,23.0,2.6,1.1,1.9,-0.0008843275346721799,0.433,0.0,NS,,"Ghana DHS 2014 — hiv-prevalence_subnational_gha.csv (regional level, mapped to 261 districts)",Ghana DHS 2022 — hiv-behavior/knowledge/counseling/attitudes/fp2020_subnational_gha.csv (regional level),Ghana Population & Housing Census 2021 — Master Sheet.xlsx (district level),Ghana DHS 2022 — health-insurance_subnational_gha.csv (regional level),Ghana DHS 2022 — literacy/select-education-indicators_subnational_gha.csv (regional level),"Ghana Statistical Service — Ghana_New_260_District.geojson, joined via district_crosswalk_261_to_260.csv (261 census districts -> 260 unique polygons; Guan shares Krachi East Municipal's polygon)"
Ashanti,Akrofuom,District,6.03262245,-1.67136425707588,37.0,44.2,30.03,42.84,49.31,58.86,49291,8.1,13.6,38.6,54.4,98.7,99.0,75.7,73.9,62.9,23.7,16.4,75.1,92.4,7.5,22.2,61.5,11.5,79.8,9.0,16.0,62.0,26.9,23.0,2.6,1.1,1.9,-0.0005371251133411551,0.447,0.0,NS,,"Ghana DHS 2014 — hiv-prevalence_subnational_gha.csv (regional level, mapped to 261 districts)",Ghana DHS 2022 — hiv-behavior/knowledge/counseling/attitudes/fp2020_subnational_gha.csv (regional level),Ghana Population & Housing Census 2021 — Master Sheet.xlsx (district level),Ghana DHS 2022 — health-insurance_subnational_gha.csv (regional level),Ghana DHS 2022 — literacy/select-education-indicators_subnational_gha.csv (regional level),"Ghana Statistical Service — Ghana_New_260_District.geojson, joined via district_crosswalk_261_to_260.csv (261 census districts -> 260 unique polygons; Guan shares Krachi East Municipal's polygon)"
Ashanti,Amansie Central,District,6.20744165,-1.82814118592735,28.6,43.3,29.44,33.99,44.63,57.8,93052,8.1,13.6,38.6,54.4,98.7,99.0,75.7,73.9,62.9,23.7,16.4,75.1,92.4,7.5,22.2,61.5,11.5,79.8,9.0,16.0,62.0,26.9,23.0,2.6,1.1,1.9,-0.00017890039292025654,0.485,0.0,NS,,"Ghana DHS 2014 — hiv-prevalence_subnational_gha.csv (regional level, mapped to 261 districts)",Ghana DHS 2022 — hiv-behavior/knowledge/counseling/attitudes/fp2020_subnational_gha.csv (regional level),Ghana Population & Housing Census 2021 — Master Sheet.xlsx (district level),Ghana DHS 2022 — health-insurance_subnational_gha.csv (regional level),Ghana DHS 2022 — literacy/select-education-indicators_subnational_gha.csv (regional level),"Ghana Statistical Service — Ghana_New_260_District.geojson, joined via district_crosswalk_261_to_260.csv (261 census districts -> 260 unique polygons; Guan shares Krachi East Municipal's polygon)"
Ashanti,Amansie South,District,6.30802585,-2.01186652006877,30.3,44.4,30.17,48.14,45.61,52.44,113155,8.1,13.6,38.6,54.4,98.7,99.0,75.7,73.9,62.9,23.7,16.4,75.1,92.4,7.5,22.2,61.5,11.5,79.8,9.0,16.0,62.0,26.9,23.0,2.6,1.1,1.9,-0.001501576283705113,0.34,0.0,NS,,"Ghana DHS 2014 — hiv-prevalence_subnational_gha.csv (regional level, mapped to 261 districts)",Ghana DHS 2022 — hiv-behavior/knowledge/counseling/attitudes/fp2020_subnational_gha.csv (regional level),Ghana Population & Housing Census 2021 — Master Sheet.xlsx (district level),Ghana DHS 2022 — health-insurance_subnational_gha.csv (regional level),Ghana DHS 2022 — literacy/select-education-indicators_subnational_gha.csv (regional level),"Ghana Statistical Service — Ghana_New_260_District.geojson, joined via district_crosswalk_261_to_260.csv (261 census districts -> 260 unique polygons; Guan shares Krachi East Municipal's polygon)"
Ashanti,Amansie West,District,6.43975084999999,-1.85237045719587,31.0,44.7,27.0,43.02,52.21,61.25,112627,8.1,13.6,38.6,54.4,98.7,99.0,75.7,73.9,62.9,23.7,16.4,75.1,92.4,7.5,22.2,61.5,11.5,79.8,9.0,16.0,62.0,26.9,23.0,2.6,1.1,1.9,4.154558887721954e-05,0.42,0.0,NS,,"Ghana DHS 2014 — hiv-prevalence_subnational_gha.csv (regional level, mapped to 261 districts)",Ghana DHS 2022 — hiv-behavior/knowledge/counseling/attitudes/fp2020_subnational_gha.csv (regional level),Ghana Population & Housing Census 2021 — Master Sheet.xlsx (district level),Ghana DHS 2022 — health-insurance_subnational_gha.csv (regional level),Ghana DHS 2022 — literacy/select-education-indicators_subnational_gha.csv (regional level),"Ghana Statistical Service — Ghana_New_260_District.geojson, joined via district_crosswalk_261_to_260.csv (261 census districts -> 260 unique polygons; Guan shares Krachi East Municipal's polygon)"
Ashanti,Asante Akim Central Municipal,Municipal,6.56465915,-1.25347851347396,16.9,42.6,17.22,19.68,51.13,55.83,91673,8.1,13.6,38.6,54.4,98.7,99.0,75.7,73.9,62.9,23.7,16.4,75.1,92.4,7.5,22.2,61.5,11.5,79.8,9.0,16.0,62.0,26.9,23.0,2.6,1.1,1.9,4.154558887721954e-05,0.423,0.0,NS,,"Ghana DHS 2014 — hiv-prevalence_subnational_gha.csv (regional level, mapped to 261 districts)",Ghana DHS 2022 — hiv-behavior/knowledge/counseling/attitudes/fp2020_subnational_gha.csv (regional level),Ghana Population & Housing Census 2021 — Master Sheet.xlsx (district level),Ghana DHS 2022 — health-insurance_subnational_gha.csv (regional level),Ghana DHS 2022 — literacy/select-education-indicators_subnational_gha.csv (regional level),"Ghana Statistical Service — Ghana_New_260_District.geojson, joined via district_crosswalk_261_to_260.csv (261 census districts -> 260 unique polygons; Guan shares Krachi East Municipal's polygon)"
Ashanti,Asante Akim North Municipal,Municipal,6.906722,-0.958978,26.0,42.1,23.85,34.0,47.13,55.04,85202,8.1,13.6,38.6,54.4,98.7,99.0,75.7,73.9,62.9,23.7,16.4,75.1,92.4,7.5,22.2,61.5,11.5,79.8,9.0,16.0,62.0,26.9,23.0,2.6,1.1,1.9,4.154558887721955e-05,0.413,0.0,NS,,"Ghana DHS 2014 — hiv-prevalence_subnational_gha.csv (regional level, mapped to 261 districts)",Ghana DHS 2022 — hiv-behavior/knowledge/counseling/attitudes/fp2020_subnational_gha.csv (regional level),Ghana Population & Housing Census 2021 — Master Sheet.xlsx (district level),Ghana DHS 2022 — health-insurance_subnational_gha.csv (regional level),Ghana DHS 2022 — literacy/select-education-indicators_subnational_gha.csv (regional level),"Ghana Statistical Service — Ghana_New_260_District.geojson, joined via district_crosswalk_261_to_260.csv (261 census districts -> 260 unique polygons; Guan shares Krachi East Municipal's polygon)"
Ashanti,Asante Akim South Municipal,Municipal,6.46141735,-1.11533920112058,24.6,42.2,25.62,32.61,43.84,65.69,123633,8.1,13.6,38.6,54.4,98.7,99.0,75.7,73.9,62.9,23.7,16.4,75.1,92.4,7.5,22.2,61.5,11.5,79.8,9.0,16.0,62.0,26.9,23.0,2.6,1.1,1.9,4.1545588877219546e-05,0.442,0.0,NS,,"Ghana DHS 2014 — hiv-prevalence_subnational_gha.csv (regional level, mapped to 261 districts)",Ghana DHS 2022 — hiv-behavior/knowledge/counseling/attitudes/fp2020_subnational_gha.csv (regional level),Ghana Population & Housing Census 2021 — Master Sheet.xlsx (district level),Ghana DHS 2022 — health-insurance_subnational_gha.csv (regional level),Ghana DHS 2022 — literacy/select-education-indicators_subnational_gha.csv (regional level),"Ghana Statistical Service — Ghana_New_260_District.geojson, joined via district_crosswalk_261_to_260.csv (261 census districts -> 260 unique polygons; Guan shares Krachi East Municipal's polygon)"
Ashanti,Asokore Mampong Municipal,Municipal,6.7077852,-1.5665013,11.3,42.7,19.35,20.28,48.52,51.93,191402,8.1,13.6,38.6,54.4,98.7,99.0,75.7,73.9,62.9,23.7,16.4,75.1,92.4,7.5,22.2,61.5,11.5,79.8,9.0,16.0,62.0,26.9,23.0,2.6,1.1,1.9,4.154558887721955e-05,0.417,0.0,NS,,"Ghana DHS 2014 — hiv-prevalence_subnational_gha.csv (regional level, mapped to 261 districts)",Ghana DHS 2022 — hiv-behavior/knowledge/counseling/attitudes/fp2020_subnational_gha.csv (regional level),Ghana Population & Housing Census 2021 — Master Sheet.xlsx (district level),Ghana DHS 2022 — health-insurance_subnational_gha.csv (regional level),Ghana DHS 2022 — literacy/select-education-indicators_subnational_gha.csv (regional level),"Ghana Statistical Service — Ghana_New_260_District.geojson, joined via district_crosswalk_261_to_260.csv (261 census districts -> 260 unique polygons; Guan shares Krachi East Municipal's polygon)"
Ashanti,Asokwa Municipal,Municipal,6.6739843,-1.6026178,6.3,41.4,10.73,14.25,44.07,48.27,125642,8.1,13.6,38.6,54.4,98.7,99.0,75.7,73.9,62.9,23.7,16.4,75.1,92.4,7.5,22.2,61.5,11.5,79.8,9.0,16.0,62.0,26.9,23.0,2.6,1.1,1.9,4.1545588877219546e-05,0.445,0.0,NS,,"Ghana DHS 2014 — hiv-prevalence_subnational_gha.csv (regional level, mapped to 261 districts)",Ghana DHS 2022 — hiv-behavior/knowledge/counseling/attitudes/fp2020_subnational_gha.csv (regional level),Ghana Population & Housing Census 2021 — Master Sheet.xlsx (district level),Ghana DHS 2022 — health-insurance_subnational_gha.csv (regional level),Ghana DHS 2022 — literacy/select-education-indicators_subnational_gha.csv (regional level),"Ghana Statistical Service — Ghana_New_260_District.geojson, joined via district_crosswalk_261_to_260.csv (261 census districts -> 260 unique polygons; Guan shares Krachi East Municipal's polygon)"
Ashanti,Atwima Kwanwoma,District,6.65,-1.73333,13.8,43.3,13.57,26.15,49.99,59.8,234846,8.1,13.6,38.6,54.4,98.7,99.0,75.7,73.9,62.9,23.7,16.4,75.1,92.4,7.5,22.2,61.5,11.5,79.8,9.0,16.0,62.0,26.9,23.0,2.6,1.1,1.9,4.154558887721955e-05,0.425,0.0,NS,,"Ghana DHS 2014 — hiv-prevalence_subnational_gha.csv (regional level, mapped to 261 districts)",Ghana DHS 2022 — hiv-behavior/knowledge/counseling/attitudes/fp2020_subnational_gha.csv (regional level),Ghana Population & Housing Census 2021 — Master Sheet.xlsx (district level),Ghana DHS 2022 — health-insurance_subnational_gha.csv (regional level),Ghana DHS 2022 — literacy/select-education-indicators_subnational_gha.csv (regional level),"Ghana Statistical Service — Ghana_New_260_District.geojson, joined via district_crosswalk_261_to_260.csv (261 census districts -> 260 unique polygons; Guan shares Krachi East Municipal's polygon)"
Ashanti,Atwima Mponua,District,6.5558963,-2.17659077213842,25.1,42.4,29.22,24.13,43.5,64.9,155254,8.1,13.6,38.6,54.4,98.7,99.0,75.7,73.9,62.9,23.7,16.4,75.1,92.4,7.5,22.2,61.5,11.5,79.8,9.0,16.0,62.0,26.9,23.0,2.6,1.1,1.9,-0.0018444922553900753,0.194,0.0,NS,,"Ghana DHS 2014 — hiv-prevalence_subnational_gha.csv (regional level, mapped to 261 districts)",Ghana DHS 2022 — hiv-behavior/knowledge/counseling/attitudes/fp2020_subnational_gha.csv (regional level),Ghana Population & Housing Census 2021 — Master Sheet.xlsx (district level),Ghana DHS 2022 — health-insurance_subnational_gha.csv (regional level),Ghana DHS 2022 — literacy/select-education-indicators_subnational_gha.csv (regional level),"Ghana Statistical Service — Ghana_New_260_District.geojson, joined via district_crosswalk_261_to_260.csv (261 census districts -> 260 unique polygons; Guan shares Krachi East Municipal's polygon)"
Ashanti,Atwima Nwabiagya North,District,6.87764335,-1.74489585317473,13.5,43.1,15.74,21.41,50.93,59.81,155025,8.1,13.6,38.6,54.4,98.7,99.0,75.7,73.9,62.9,23.7,16.4,75.1,92.4,7.5,22.2,61.5,11.5,79.8,9.0,16.0,62.0,26.9,23.0,2.6,1.1,1.9,4.154558887721955e-05,0.43,0.0,NS,,"Ghana DHS 2014 — hiv-prevalence_subnational_gha.csv (regional level, mapped to 261 districts)",Ghana DHS 2022 — hiv-behavior/knowledge/counseling/attitudes/fp2020_subnational_gha.csv (regional level),Ghana Population & Housing Census 2021 — Master Sheet.xlsx (district level),Ghana DHS 2022 — health-insurance_subnational_gha.csv (regional level),Ghana DHS 2022 — literacy/select-education-indicators_subnational_gha.csv (regional level),"Ghana Statistical Service — Ghana_New_260_District.geojson, joined via district_crosswalk_261_to_260.csv (261 census districts -> 260 unique polygons; Guan shares Krachi East Municipal's polygon)"
Ashanti,Atwima Nwabiagya South Municipal,Municipal,7.0689359,-2.0226618,12.5,43.0,13.83,23.44,48.4,56.9,161893,8.1,13.6,38.6,54.4,98.7,99.0,75.7,73.9,62.9,23.7,16.4,75.1,92.4,7.5,22.2,61.5,11.5,79.8,9.0,16.0,62.0,26.9,23.0,2.6,1.1,1.9,4.154558887721954e-05,0.45,0.0,NS,,"Ghana DHS 2014 — hiv-prevalence_subnational_gha.csv (regional level, mapped to 261 districts)",Ghana DHS 2022 — hiv-behavior/knowledge/counseling/attitudes/fp2020_subnational_gha.csv (regional level),Ghana Population & Housing Census 2021 — Master Sheet.xlsx (district level),Ghana DHS 2022 — health-insurance_subnational_gha.csv (regional level),Ghana DHS 2022 — literacy/select-education-indicators_subnational_gha.csv (regional level),"Ghana Statistical Service — Ghana_New_260_District.geojson, joined via district_crosswalk_261_to_260.csv (261 census districts -> 260 unique polygons; Guan shares Krachi East Municipal's polygon)"
